Year,Precip2,10YrAvr,adjPrec
1884,33.41,32.58818182,0.821818182
1885,33.79,32.58818182,1.201818182
1886,28.51,32.58818182,-4.078181818
1887,31.17,32.58818182,-1.418181818
1888,35.17,32.58818182,2.581818182
1889,38.26,32.58818182,5.671818182
1890,36.96,32.58818182,4.371818182
1891,29.18,32.58818182,-3.408181818
1892,42.26,32.58818182,9.671818182
1893,28.44,32.58818182,-4.148181818
1894,21.32,32.085,-10.765
1895,29.48,32.085,-2.605
1896,28.51,32.085,-3.575
1897,30.24,32.085,-1.845
1898,31.97,32.085,-0.115
1899,37.26,32.085,5.175
1900,34.58,32.085,2.495
1901,36.76,32.085,4.675
1902,38.94,32.085,6.855
1903,31.79,32.085,-0.295
1904,29.64,30.047,-0.407
1905,33.88,30.047,3.833
1906,29.88,30.047,-0.167
1907,29.72,30.047,-0.327
1908,23.55,30.047,-6.497
1909,35.82,30.047,5.773
1910,31.67,30.047,1.623
1911,26.36,30.047,-3.687
1912,34.18,30.047,4.133
1913,25.77,30.047,-4.277
1914,22.66,31.4335,-8.7735
1915,25.7,31.4335,-5.7335
1916,28.46,31.4335,-2.9735
1917,31.75,31.4335,0.3165
1918,42.25,31.4335,10.8165
1919,30.15,31.4335,-1.2835
1920,41.09,31.4335,9.6565
1921,27.22,31.4335,-4.2135
1922,34.29,31.4335,2.8565
1923,30.765,31.4335,-0.6685
1924,27.24,32.127,-4.887
1925,37.22,32.127,5.093
1926,31.76,32.127,-0.367
1927,35.72,32.127,3.593
1928,26.85,32.127,-5.277
1929,33.91,32.127,1.783
1930,29.54,32.127,-2.587
1931,32.05,32.127,-0.077
1932,37.06,32.127,4.933
1933,29.92,32.127,-2.207
1934,27.35,32.787,-5.437
1935,33.86,32.787,1.073
1936,36.15,32.787,3.363
1937,32.09,32.787,-0.697
1938,35.99,32.787,3.203
1939,33.43,32.787,0.643
1940,34.12,32.787,1.333
1941,23.02,32.787,-9.767
1942,36.62,32.787,3.833
1943,35.24,32.787,2.453
1944,32.74,33.804,-1.064
1945,43.97,33.804,10.166
1946,37.89,33.804,4.086
1947,32.34,33.804,-1.464
1948,33.54,33.804,-0.264
1949,28.43,33.804,-5.374
1950,29.44,33.804,-4.364
1951,37.09,33.804,3.286
1952,32.59,33.804,-1.214
1953,30.01,33.804,-3.794
1954,41.82,34.428,7.392
1955,39.33,34.428,4.902
1956,30.22,34.428,-4.208
1957,33.9,34.428,-0.528
1958,39.42,34.428,4.992
1959,37.94,34.428,3.512
1960,30.88,34.428,-3.548
1961,31.96,34.428,-2.468
1962,32.53,34.428,-1.898
1963,26.28,34.428,-8.148
1964,29.77,33.661,-3.891
1965,29.05,33.661,-4.611
1966,28.59,33.661,-5.071
1967,32.28,33.661,-1.381
1968,32.79,33.661,-0.871
1969,34.55,33.661,0.889
1970,33.02,33.661,-0.641
1971,32.07,33.661,-1.591
1972,38.15,33.661,4.489
1973,46.34,33.661,12.679
1974,34.75,36.631,-1.881
1975,32.55,36.631,-4.081
1976,40.12,36.631,3.489
1977,40.47,36.631,3.839
1978,31.13,36.631,-5.501
1979,31.6,36.631,-5.031
1980,30.94,36.631,-5.691
1981,42.16,36.631,5.529
1982,32.39,36.631,-4.241
1983,50.2,36.631,13.569
1984,35.85,33.815,2.035
1985,33.4,33.815,-0.415
1986,40.02,33.815,6.205
1987,27.48,33.815,-6.335
1988,26.74,33.815,-7.075
1989,36.07,33.815,2.255
1990,42.21,33.815,8.395
1991,32.54,33.815,-1.275
1992,30.91,33.815,-2.905
1993,32.93,33.815,-0.885
1994,34.9,35.812,-0.912
1995,32.23,35.812,-3.582
1996,41.3,35.812,5.488
1997,30.66,35.812,-5.152
1998,50.48,35.812,14.668
1999,32.61,35.812,-3.202
2000,39.3,35.812,3.488
2001,23.3,35.812,-12.512
2002,37.08,35.812,1.268
2003,36.26,35.812,0.448
2004,38.19,40.005,-1.815
2005,39.43,40.005,-0.575
2006,47.02,40.005,7.015
2007,39.85,40.005,-0.155
2008,40.61,40.005,0.605
2009,37.46,40.005,-2.545
2010,40.75,40.005,0.745
2011,50.97,40.005,10.965
2012,36,40.005,-4.005
2013,45.04,40.005,5.035
2014,36.36,40.005,-3.645
2015,37.87,40.005,-2.135
2016,27.77,40.005,-12.235
2017,39.96,40.005,-0.045
2018,39.3,40.005,-0.705
2019,43.5,40.005,3.495
